date,min_temperature
2018-04-19,2.3666666666666667
2018-04-20,0.6
2018-04-21,6.233333333333333
2018-04-22,-2.3
2018-04-23,-3.533333333333333
2018-04-24,3.1333333333333333
2018-04-25,5.400000000000001
2018-04-26,1.1333333333333333
2018-04-27,-0.0333333333333333
2018-04-28,0.3
2018-04-29,-0.1333333333333333
2018-04-30,4.533333333333333
2018-05-01,4.8
2018-05-02,2.1
2018-05-03,0.9
2018-05-04,3.2999999999999994
2018-05-05,0.0666666666666666
2018-05-06,-1.2
2018-05-07,2.7000000000000006
2018-05-08,4.833333333333333
2018-05-09,1.8
2018-05-10,5.3999999999999995
2018-05-11,4.766666666666667
2018-05-12,3.5
2018-05-13,5.366666666666667
2018-05-14,7.466666666666666
2018-05-15,8.033333333333333
2018-05-16,9.733333333333334
2018-05-17,7.366666666666667
2018-05-18,9.966666666666669
2018-05-19,2.6666666666666665
2018-05-20,1.5666666666666669
2018-05-21,3.3333333333333335
2018-05-22,5.8
2018-05-23,8.5
2018-05-24,6.8
2018-05-25,6.266666666666667
2018-05-26,6.533333333333334
2018-05-27,7.7
2018-05-28,5.1
2018-05-29,7.7
2018-05-30,7.8
2018-05-31,3.9666666666666663
2018-06-01,4.466666666666667
2018-06-02,6.6000000000000005
2018-06-03,9.166666666666666
2018-06-04,8.666666666666666
2018-06-05,4.733333333333333
2018-06-06,2.4
2018-06-07,0.5
2018-06-08,3.4666666666666663
2018-06-09,2.1333333333333333
2018-06-10,3.466666666666667
2018-06-11,8.933333333333334
2018-06-12,6.933333333333334
2018-06-13,5.433333333333334
2018-06-14,7.900000000000001
2018-06-15,10.566666666666668
2018-06-16,10.933333333333332
2018-06-17,13.533333333333331
2018-06-18,12.233333333333334
2018-06-19,9.666666666666666
2018-06-20,9.066666666666668
2018-06-21,10.766666666666666
2018-06-22,7.2
2018-06-23,6.400000000000001
2018-06-24,10.5
2018-06-25,7.4
2018-06-26,6.5
2018-06-27,8.7
2018-06-28,10.233333333333333
2018-06-29,9.833333333333334
2018-06-30,7.633333333333333
2018-07-01,9.933333333333332
2018-07-02,7.333333333333333
2018-07-03,5.933333333333334
2018-07-04,7.2
2018-07-05,12.5
2018-07-06,13.0
2018-07-07,11.800000000000002
2018-07-08,15.0
2018-07-09,14.0
2018-07-10,14.1
2018-07-11,13.366666666666667
2018-07-12,13.699999999999998
2018-07-13,13.133333333333333
2018-07-14,12.466666666666669
2018-07-15,13.9
2018-07-16,14.866666666666667
2018-07-17,18.366666666666664
2018-07-18,19.2
2018-07-19,16.033333333333335
2018-07-20,15.5
2018-07-21,15.4
2018-07-22,14.566666666666668
2018-07-23,13.699999999999998
2018-07-24,15.1
2018-07-25,13.533333333333331
2018-07-26,15.466666666666669
2018-07-27,13.9
2018-07-28,20.633333333333333
2018-07-29,21.066666666666663
2018-07-30,19.76666666666667
2018-07-31,17.433333333333334
2018-08-01,15.0
2018-08-02,14.0
2018-08-03,14.633333333333333
2018-08-04,13.633333333333333
2018-08-05,13.433333333333332
2018-08-06,10.666666666666666
2018-08-07,10.066666666666668
2018-08-08,8.433333333333332
2018-08-09,12.1
2018-08-10,16.233333333333334
2018-08-11,14.0
2018-08-12,13.0
2018-08-13,8.9
2018-08-14,6.7
2018-08-15,14.4
2018-08-16,12.866666666666667
2018-08-17,12.199999999999998
2018-08-18,14.8
2018-08-19,13.566666666666668
2018-08-20,13.066666666666668
2018-08-21,8.666666666666666
2018-08-22,6.0
2018-08-23,8.4
2018-08-24,10.5
2018-08-25,12.466666666666669
2018-08-26,12.233333333333334
2018-08-27,7.666666666666667
2018-08-28,5.7
2018-08-29,9.4
2018-08-30,11.9
2018-08-31,10.066666666666666
2018-09-01,13.533333333333331
2018-09-02,11.266666666666666
2018-09-03,9.233333333333333
2018-09-04,12.699999999999998
2018-09-05,13.133333333333336
2018-09-06,13.800000000000002
2018-09-07,12.866666666666667
2018-09-08,11.699999999999998
2018-09-09,11.4
2018-09-10,11.933333333333332
2018-09-11,11.333333333333334
2018-09-12,14.366666666666667
2018-09-13,7.2
2018-09-14,6.966666666666666
2018-09-15,6.7
2018-09-16,5.633333333333333
2018-09-17,5.033333333333333
2018-09-18,8.7
2018-09-19,9.833333333333334
2018-09-20,11.433333333333335
2018-09-21,11.7
2018-09-22,7.099999999999999
2018-09-23,5.266666666666667
2018-09-24,3.3333333333333335
2018-09-25,1.6333333333333335
2018-09-26,1.5
2018-09-27,5.8
2018-09-28,1.3999999999999997
2018-09-29,0.0
2018-09-30,4.7
2018-10-01,4.766666666666667
2018-10-02,3.6
2018-10-03,4.6000000000000005
2018-10-04,-1.6666666666666667
2018-10-05,-1.3333333333333333
2018-10-06,8.799999999999999
2018-10-07,2.8666666666666667
2018-10-08,0.1999999999999999
2018-10-09,6.0
2018-10-10,7.433333333333333
2018-10-11,5.2
2018-10-12,6.8
2018-10-13,5.633333333333333
2018-10-14,6.733333333333334
2018-10-15,4.066666666666666
2018-10-16,5.0
2018-10-17,3.466666666666667
2018-10-18,4.0
2018-10-19,0.3666666666666667
2018-10-20,-0.2666666666666666
2018-10-21,-1.3
2018-10-22,2.6666666666666665
2018-10-23,0.9
2018-10-24,2.433333333333333
2018-10-25,-1.5666666666666669
2018-10-26,-1.3333333333333333
2018-10-27,-1.4666666666666668
2018-10-28,-1.3666666666666665
2018-10-29,-2.2666666666666666
2018-10-30,-1.2
2018-10-31,2.9
2018-11-01,3.433333333333333
2018-11-02,7.633333333333333
2018-11-03,7.7
2018-11-04,-0.8000000000000002
2018-11-05,-0.1666666666666666
2018-11-06,3.6
2018-11-07,5.033333333333333
2018-11-08,3.7999999999999994
2018-11-09,3.2999999999999994
2018-11-10,2.5
2018-11-11,3.1
2018-11-12,2.1666666666666665
2018-11-13,2.9
2018-11-14,3.9333333333333336
2018-11-15,3.2999999999999994
2018-11-16,3.4333333333333336
2018-11-17,2.0
2018-11-18,1.7666666666666666
2018-11-19,-1.3666666666666665
2018-11-20,-1.4333333333333331
2018-11-21,-1.0
2018-11-22,-0.6666666666666666
2018-11-23,-0.6
2018-11-24,-3.4
2018-11-25,-5.5
2018-11-26,-4.566666666666666
2018-11-27,-5.633333333333333
2018-11-28,-10.766666666666666
2018-11-29,-11.766666666666666
2018-11-30,-9.366666666666667
2018-12-01,-11.566666666666668
2018-12-02,-9.966666666666669
2018-12-03,-8.0
2018-12-04,-0.5666666666666667
2018-12-05,-1.1
2018-12-06,-3.2000000000000006
2018-12-07,-2.733333333333333
2018-12-08,-1.3999999999999997
2018-12-09,-0.0666666666666666
2018-12-10,0.0333333333333333
2018-12-11,-0.3
2018-12-12,-1.7
2018-12-13,-2.2666666666666666
2018-12-14,-3.2000000000000006
2018-12-15,-7.366666666666667
2018-12-16,-6.833333333333333
2018-12-17,-5.233333333333333
2018-12-18,-5.433333333333334
2018-12-19,-8.299999999999999
2018-12-20,-8.466666666666667
2018-12-21,-9.9
2018-12-22,-9.966666666666669
2018-12-23,-6.266666666666667
2018-12-24,-5.866666666666667
2018-12-25,-5.1
2018-12-26,-0.4000000000000001
2018-12-27,-1.1
2018-12-28,0.0
2018-12-29,-0.7666666666666666
2018-12-30,-0.4000000000000001
2018-12-31,-1.7
2019-01-01,-1.3666666666666665
2019-01-02,-3.5666666666666664
2019-01-03,-5.3
2019-01-04,-6.400000000000001
2019-01-05,-13.666666666666666
2019-01-06,-12.066666666666668
2019-01-07,-6.066666666666666
2019-01-08,-4.566666666666666
2019-01-09,-6.233333333333334
2019-01-10,-10.4
2019-01-11,-6.400000000000001
2019-01-12,-6.7
2019-01-13,-4.199999999999999
2019-01-14,-3.5
2019-01-15,-6.8
2019-01-16,-7.766666666666666
